,open,high,low,close,adjClose
0,364.38,372.3,362.61,370.53,370.53
1,368.02,370.39,360.88,363.38,363.38
2,366.41,370.21,363.03,364.31,364.31
3,370.58,370.62,363.29,367.95,367.95
4,376.58,378.3,373.44,374.22,374.22
5,386.11,389.31,377.38,377.39,377.39
6,385.06,386.12,381.2,384.09,384.09
7,382.26,388.55,382.18,388.55,388.55
8,384.14,386.25,382.11,385.56,385.56
9,392.96,395.96,388.78,390.12,390.12
10,394.47,396.2,391.12,394.6,394.6
11,401.83,403.1,391.92,393.1,393.1
12,408.78,411.73,408.46,410.97,410.97
13,402.74,407.51,402.46,406.6,406.6
14,395.39,400.86,394.12,400.38,400.38
15,390.43,398.59,390.21,397.78,397.78
16,393.13,394.12,388.42,390.76,390.76
17,400.28,401.56,390.33,392.24,392.24
18,392.89,396.78,390.04,396.42,396.42
19,399.93,401.24,395.04,395.18,395.18
20,403.85,404.1,396.0,398.21,398.21
21,402.2,405.84,401.2,402.63,402.63
22,419.39,419.96,405.25,405.31,405.31
23,415.24,419.56,414.09,419.51,419.51
24,412.11,415.11,411.39,413.67,413.67
25,412.9,415.42,411.77,412.35,412.35
26,417.05,417.23,412.4,413.35,413.35
27,424.98,425.26,421.22,422.14,422.14
28,426.86,428.61,425.5,427.89,427.89
29,425.91,429.5,424.54,426.65,426.65
30,427.73,431.73,426.88,429.7,429.7
31,424.77,429.41,424.71,428.86,428.86
32,422.03,427.21,421.05,427.1,427.1
33,422.99,424.95,419.21,419.99,419.99
34,418.78,420.14,416.72,419.99,419.99
35,412.22,412.75,410.22,411.35,411.35
36,415.25,417.62,411.83,412.99,412.99
37,409.66,414.14,409.61,413.47,413.47
38,414.37,415.09,412.44,414.17,414.17
39,410.3,415.68,410.0,414.45,414.45
40,409.12,413.0,406.83,408.06,408.06
41,409.15,413.395,408.41,410.77,410.77
42,407.58,413.03,406.77,411.99,411.99
43,401.89,406.8,398.15,406.07,406.07
44,394.36,402.88,394.05,401.04,401.04
45,393.84,394.06,389.95,390.89,390.89
46,395.75,396.47,393.21,395.57,395.57
47,398.92,400.18,392.75,395.09,395.09
48,394.16,398.84,391.64,398.79,398.79
49,392.47,396.26,391.03,394.77,394.77
50,386.08,392.87,385.39,392.27,392.27
51,388.38,389.09,380.66,381.95,381.95
52,382.55,385.25,380.54,385.13,385.13
53,373.61,379.05,371.04,377.91,377.91
54,375.1,381.92,374.66,378.83,378.83
55,383.65,386.16,378.99,380.83,380.83
56,385.85,386.87,383.5,384.23,384.23
57,387.27,390.64,385.66,388.67,388.67
58,385.12,389.83,383.27,388.99,388.99
59,382.11,385.87,379.6,383.25,383.25
60,375.88,381.98,372.9,381.96,381.96
61,376.56,381.7,373.8,381.24,381.24
62,376.24,380.6582,372.56,377.25,377.25
63,381.23,382.27,378.42,380.34,380.34
64,390.23,393.16,380.53,380.65,380.65
65,391.05,391.36,387.44,388.59,388.59
66,381.4,390.09,381.365,390.08,390.08
67,376.64,378.83,372.89,378.06,378.06
68,370.62,378.72,370.18,374.39,374.39
69,371.89,376.525,371.81,375.07,375.07
70,365.51,369.38,362.17,365.86,365.86
71,370.51,370.94,364.0799,366.65,366.65
72,377.36,383.9,372.12,379.2,379.2
73,376.85,377.94,370.59,373.87,373.87
74,379.85,381.81,373.3,375.0,375.0
75,394.88,395.7777,389.75,389.8,389.8
76,409.34,411.74,401.44,401.44,401.44
77,413.93,415.82,410.38,411.22,411.22
78,408.1,416.22,407.61,415.74,415.74
79,414.78,416.609,410.5523,411.79,411.79
80,412.4,414.04,409.51,410.54,410.54
81,409.42,417.44,407.04,417.39,417.39
82,415.17,416.24,406.93,409.59,409.59
83,413.55,416.46,410.03,412.93,412.93
84,407.91,415.3801,407.7,415.26,415.26
85,398.67,407.04,398.45,405.31,405.31
86,392.31,399.45,391.89,397.37,397.37
87,392.56,395.15,386.96,393.89,393.89
88,392.83,397.73,390.38,396.92,396.92
89,393.25,397.03,380.54,389.63,389.63
90,388.62,394.14,387.11,389.46,389.46
91,403.5,403.8,390.55,391.86,391.86
92,406.53,408.57,402.5824,408.32,408.32
93,399.98,403.97,397.6,400.09,400.09
94,396.71,403.18,395.61,401.72,401.72
95,389.37,395.8,385.15,392.34,392.34
96,398.07,404.04,391.96,392.75,392.75
97,404.49,406.08,394.82,399.09,399.09
98,405.1,406.41,396.5,398.17,398.17
99,411.1,414.8,405.73,411.34,411.34
100,424.55,425.0,409.44,413.81,413.81
101,417.08,429.66,413.7099,429.06,429.06
102,415.01,418.93,413.36,416.38,416.38
103,412.07,415.92,405.02,414.48,414.48
104,423.59,425.87,411.21,412.0,412.0
105,422.29,429.64,417.6,427.81,427.81
106,417.24,422.92,415.01,417.27,417.27
107,425.83,426.04,416.07,416.1,416.1
108,423.67,428.69,418.84,428.51,428.51
109,436.91,438.0825,425.44,426.04,426.04
110,448.54,450.01,437.1,438.06,438.06
111,446.92,447.57,443.48,444.71,444.71
112,437.86,445.8,437.68,445.04,445.04
113,436.81,439.75,435.61,437.97,437.97
114,443.55,444.7301,437.68,437.79,437.79
115,438.03,444.11,437.84,443.31,443.31
116,443.08,445.75,436.6501,438.29,438.29
117,444.11,445.0,439.39,439.92,439.92
118,447.97,450.63,445.94,447.57,447.57
119,445.59,450.69,443.53,448.77,448.77
120,446.89,448.93,443.47,446.52,446.52
121,455.22,457.83,449.82,451.03,451.03
122,453.13,456.91,452.26,456.8,456.8
123,453.31,453.46,449.14,452.92,452.92
124,457.89,458.76,451.16,451.64,451.64
125,460.34,461.195,456.465,458.7,458.7
126,460.02,462.07,457.18,461.55,461.55
127,452.06,455.91,450.06,455.91,455.91
128,451.16,452.98,448.43,452.69,452.69
129,445.94,450.5,444.76,450.49,450.49
130,446.91,448.49,443.71,443.8,443.8
131,445.86,450.58,445.86,449.59,449.59
132,444.34,446.46,440.68,444.39,444.39
133,438.0,444.850006,437.220001,444.519989,444.519989
134,433.589996,441.070007,433.190002,441.070007,439.70401
135,429.890015,435.679993,424.799988,435.619995,434.270874
136,419.769989,426.839996,418.420013,426.170013,424.850159
137,420.890015,424.549988,415.790009,417.0,415.708557
138,428.119995,428.769989,419.529999,420.070007,418.769043
139,422.519989,426.429993,420.440002,425.480011,424.162292
140,425.140015,429.51001,422.820007,427.410004,426.086304
141,419.619995,427.209991,415.119995,416.25,414.960876
142,431.549988,432.299988,419.359985,419.429993,418.131012
143,431.75,433.369995,427.880005,432.170013,430.831573
144,440.470001,441.109985,433.799988,435.709991,434.360596
145,432.369995,439.720001,431.570007,437.890015,436.533875
146,435.040009,437.170013,427.109985,429.980011,428.648376
147,432.029999,438.200012,430.700012,436.630005,435.277771
148,429.609985,437.839996,427.859985,437.75,436.394287
149,411.019989,428.76001,410.640015,428.299988,426.973541
150,432.660004,433.26001,421.350006,421.950012,420.643219
151,431.890015,435.5,425.859985,429.570007,428.239624
152,437.329987,438.660004,431.820007,434.230011,432.885193
153,443.220001,446.570007,436.420013,437.059998,435.706421
154,443.929993,448.059998,441.940002,446.600006,445.216888
155,443.730011,446.279999,443.179993,446.100006,444.718445
156,439.920013,441.600006,435.339996,439.019989,437.660339
157,449.410004,451.609985,438.940002,440.459991,439.095886
158,451.339996,457.709991,447.200012,449.320007,447.928467
159,455.220001,457.880005,455.01001,457.540009,456.123016
160,446.730011,451.920013,445.220001,450.940002,449.543457
161,449.51001,450.98999,445.850006,447.26001,445.874847
162,446.350006,452.779999,443.829987,448.700012,447.310394
163,450.950012,452.970001,445.709991,446.600006,445.216888
164,455.5,458.119995,453.049988,457.350006,455.933594
165,450.679993,453.630005,446.940002,452.950012,451.547241
166,441.23999,450.279999,439.809998,449.910004,448.516632
167,432.679993,442.0,427.820007,441.950012,440.581299
168,438.26001,441.589996,429.450012,431.23999,429.904449
169,440.720001,444.040009,428.859985,433.380005,432.037842
170,433.059998,439.720001,427.149994,434.470001,433.124451
171,432.029999,440.380005,420.76001,439.839996,438.477814
172,445.559998,448.059998,437.950012,437.980011,436.623596
173,453.75,458.73999,444.5,446.75,445.366425
174,458.130005,459.609985,451.459991,451.75,450.350922
175,459.73999,459.959991,455.309998,456.48999,455.076233
176,461.190002,465.089996,459.899994,464.720001,463.280762
177,472.190002,472.880005,463.440002,464.529999,463.091339
178,471.589996,473.200012,468.940002,471.019989,469.561249
179,465.230011,469.850006,462.049988,469.75,468.295197
180,462.700012,465.73999,456.600006,465.51001,464.068329
181,467.950012,469.200012,464.649994,466.089996,464.646515
182,467.890015,470.820007,465.429993,467.940002,466.490784
183,477.160004,477.980011,468.279999,468.380005,466.929443
184,479.220001,479.980011,475.579987,477.549988,476.071014
185,476.299988,477.850006,473.850006,477.709991,476.23053
186,475.640015,476.859985,474.670013,474.959991,473.489044
187,477.929993,479.0,475.670013,476.160004,474.685333
188,476.980011,478.559998,475.920013,477.480011,476.001251
189,477.720001,478.809998,476.059998,476.869995,475.393127
190,472.059998,477.309998,472.01001,477.26001,475.781921
191,468.75,472.190002,468.640015,470.600006,469.142548
192,462.790009,467.809998,462.579987,467.690002,466.241577
193,458.609985,463.209991,456.309998,463.059998,461.625916
194,454.480011,455.399994,451.140015,454.980011,453.570953
195,461.549988,464.73999,458.059998,459.869995,458.44577
196,472.570007,472.869995,464.799988,466.450012,463.377472
197,463.420013,470.859985,460.73999,470.600006,467.500122
198,463.089996,465.73999,460.25,463.359985,460.3078
199,470.190002,470.559998,466.269989,466.570007,463.496643
200,469.230011,470.899994,466.51001,470.73999,467.639191
201,468.149994,469.630005,466.140015,466.350006,463.278137
202,468.700012,470.0,466.829987,469.519989,466.427216
203,464.410004,468.880005,458.649994,468.279999,465.195404
204,456.130005,460.790009,453.559998,458.790009,455.767914
205,459.170013,460.299988,448.920013,453.420013,450.433289
206,450.730011,459.070007,450.309998,457.399994,454.387054
207,461.640015,464.670013,450.290009,450.5,447.532501
208,462.0,464.029999,455.299988,455.559998,452.559204
209,464.070007,466.559998,461.730011,464.600006,461.539642
210,462.339996,463.899994,457.769989,458.970001,455.946747
211,466.059998,469.570007,465.190002,469.440002,466.347748
212,467.220001,469.100006,464.450012,468.190002,465.105988
213,470.890015,473.540009,467.350006,467.570007,464.490082
214,469.609985,470.940002,468.5,468.890015,465.801392
215,469.23999,470.01001,466.339996,469.730011,466.635864
216,469.0,469.190002,467.480011,468.140015,465.056335
217,467.149994,470.48999,467.070007,469.279999,466.188812
218,468.640015,468.809998,466.230011,467.429993,464.350983
219,465.119995,467.859985,464.109985,467.269989,464.192017
220,465.209991,465.290009,463.75,463.769989,460.715088
221,465.579987,467.380005,462.040009,463.619995,460.566101
222,469.320007,469.570007,465.880005,467.380005,464.301331
223,469.700012,470.230011,468.200012,468.929993,465.841125
224,469.279999,470.649994,466.920013,468.529999,465.443726
225,465.359985,467.0,464.98999,466.910004,463.834442
226,461.299988,465.149994,460.829987,464.720001,461.658844
227,460.220001,462.230011,460.079987,461.899994,458.857422
228,460.299988,460.700012,458.200012,460.040009,457.009674
229,455.869995,459.559998,455.559998,459.25,456.224884
230,455.459991,458.399994,455.450012,458.320007,455.301025
231,456.450012,457.160004,453.859985,453.940002,450.94986
232,457.200012,458.48999,455.559998,455.959991,452.956543
233,454.279999,455.899994,452.390015,455.549988,452.549255
234,453.130005,454.670013,451.049988,453.119995,450.135254
235,451.769989,453.829987,451.309998,453.589996,450.602173
236,451.130005,452.730011,451.01001,452.410004,449.429932
237,448.920013,450.709991,448.269989,450.640015,447.6716
238,443.970001,447.549988,443.269989,447.190002,444.244324
239,444.75,446.26001,444.089996,445.869995,442.933014
240,439.079987,442.660004,438.579987,442.5,439.585205
241,434.709991,436.049988,431.540009,435.179993,432.313416
242,435.670013,436.100006,432.779999,433.619995,430.763702
243,437.160004,440.26001,434.619995,434.690002,431.82666
244,439.480011,439.890015,437.190002,437.859985,434.975769
245,438.390015,441.679993,438.200012,438.660004,435.770508
246,429.269989,435.119995,427.540009,434.899994,432.035248
247,430.23999,435.48999,429.390015,433.100006,430.247131
248,433.0,433.959991,426.359985,428.640015,425.816528
249,430.980011,436.029999,427.230011,434.23999,431.379608
250,436.019989,436.769989,428.779999,429.140015,426.313232
251,435.190002,437.040009,433.850006,434.450012,431.588257
252,439.690002,440.040009,432.940002,433.720001,430.863037
253,442.809998,444.049988,441.899994,442.640015,439.724304
254,441.440002,444.670013,441.209991,443.910004,440.985931
255,439.850006,444.890015,439.600006,443.179993,440.260712
256,436.049988,440.029999,433.75,437.859985,434.975769
257,436.529999,437.910004,433.070007,433.630005,430.773651
258,434.880005,436.559998,428.859985,434.040009,431.180969
259,444.920013,445.369995,441.019989,441.399994,438.492462
260,447.320007,448.359985,444.019989,447.170013,442.805847
261,444.619995,448.410004,443.440002,447.880005,443.508911
262,448.119995,448.339996,443.220001,444.170013,439.835144
263,448.640015,448.920013,444.109985,446.579987,442.221619
264,451.040009,451.48999,445.309998,445.440002,441.092743
265,450.700012,452.570007,448.720001,448.980011,444.598175
266,450.890015,451.670013,448.859985,450.910004,446.509338
267,452.709991,452.809998,450.73999,451.459991,447.053955
268,451.980011,453.630005,451.549988,453.079987,448.658142
269,453.320007,454.049988,451.910004,453.190002,448.76709
270,452.559998,453.109985,451.549988,451.799988,447.390656
271,452.130005,452.48999,450.920013,451.559998,447.153015
272,450.970001,453.070007,450.709991,452.230011,447.816467
273,447.119995,450.649994,447.059998,450.25,445.855804
274,448.609985,448.859985,446.160004,446.26001,441.904724
275,448.170013,449.459991,447.769989,448.910004,444.52887
276,447.970001,448.540009,447.420013,447.970001,443.598053
277,445.160004,448.230011,443.440002,447.26001,442.894989
278,440.230011,443.709991,439.709991,443.359985,439.03302
279,436.269989,441.140015,436.119995,439.859985,435.567169
280,442.959991,444.630005,438.920013,439.179993,434.893829
281,444.23999,444.959991,440.850006,444.040009,439.706421
282,444.529999,447.109985,442.869995,446.970001,442.607788
283,445.589996,445.940002,445.070007,445.920013,441.568054
284,443.619995,445.26001,442.660004,445.109985,440.76593
285,443.820007,443.880005,442.619995,443.779999,439.448944
286,442.609985,443.440002,441.880005,442.679993,438.35968
287,442.459991,442.799988,441.309998,442.130005,437.815033
288,442.100006,442.940002,441.799988,442.48999,438.171509
289,440.220001,441.850006,439.880005,441.76001,437.448669
290,439.779999,441.119995,438.730011,438.980011,434.695801
291,438.440002,441.279999,436.100006,441.149994,436.844604
292,440.339996,440.929993,437.209991,437.589996,433.319336
293,437.910004,440.059998,437.769989,438.51001,434.230347
294,439.820007,441.799988,439.809998,440.649994,436.349487
295,439.679993,440.299988,437.309998,438.829987,434.547211
296,439.910004,439.940002,435.98999,439.01001,434.725464
297,439.309998,441.029999,439.26001,441.019989,436.715851
298,437.519989,440.299988,436.790009,439.940002,435.646423
299,434.73999,435.720001,433.690002,435.459991,431.210114
300,432.339996,434.700012,431.01001,434.549988,430.30899
301,425.679993,432.420013,424.829987,431.059998,426.853058
302,426.190002,431.410004,421.970001,424.970001,420.82251
303,436.01001,436.059998,430.920013,431.339996,427.130341
304,434.809998,435.529999,432.720001,434.75,430.50705
305,437.399994,437.920013,434.910004,436.23999,431.982483
306,436.23999,437.839996,435.309998,435.589996,431.338837
307,435.429993,437.350006,434.970001,437.079987,432.814301
308,432.529999,435.839996,430.709991,435.519989,431.269501
309,428.779999,431.730011,427.519989,430.920013,426.714417
310,433.660004,434.76001,431.51001,434.459991,430.219879
311,433.779999,434.01001,430.01001,432.929993,428.704834
312,431.670013,434.100006,430.519989,433.720001,429.487091
313,428.869995,430.600006,428.799988,430.429993,426.229218
314,427.209991,428.779999,427.179993,428.059998,423.882355
315,427.880005,428.559998,427.130005,427.700012,423.525879
316,427.170013,427.649994,425.890015,427.470001,423.298096
317,425.899994,427.089996,425.549988,426.609985,422.446472
318,424.890015,425.549988,424.619995,425.100006,420.951233
319,423.190002,424.049988,422.51001,422.600006,418.475647
320,420.850006,424.0,420.079987,423.109985,418.980652
321,416.799988,421.059998,415.929993,420.859985,416.752594
322,417.089996,417.829987,414.700012,414.920013,410.870605
323,421.670013,423.019989,419.320007,421.970001,416.489197
324,424.630005,424.869995,419.920013,422.109985,416.62735
325,425.420013,425.459991,423.540009,424.480011,418.966614
326,424.429993,425.369995,423.100006,425.26001,419.736481
327,424.200012,424.429993,422.820007,424.309998,418.798798
328,422.959991,424.630005,421.549988,423.609985,418.10788
329,423.179993,423.26001,421.410004,421.649994,416.17337
330,423.109985,423.209991,420.320007,422.279999,416.795197
331,422.589996,422.779999,421.190002,422.190002,416.706329
332,420.75,422.920013,418.839996,422.600006,417.111084
333,417.850006,419.98999,416.279999,418.769989,413.33075
334,420.369995,421.230011,419.290009,420.329987,414.870483
335,422.570007,422.720001,419.200012,419.670013,414.219116
336,420.970001,421.25,419.790009,420.040009,414.584259
337,420.170013,420.720001,418.98999,419.290009,413.844025
338,418.869995,419.609985,417.76001,419.070007,413.626892
339,420.329987,420.709991,417.619995,418.23999,412.807648
340,417.339996,420.320007,417.079987,419.170013,413.725616
341,416.869995,418.200012,414.450012,414.940002,409.550537
342,411.799988,416.630005,411.670013,415.279999,409.886078
343,406.920013,411.049988,405.329987,410.859985,405.523499
344,415.799988,416.059998,411.769989,411.940002,406.589478
345,415.390015,416.390015,413.359985,415.519989,410.122986
346,413.209991,417.48999,413.179993,416.579987,411.169189
347,407.070007,412.350006,407.019989,410.279999,404.95105
348,411.230011,412.589996,404.0,405.410004,400.144318
349,413.100006,415.269989,410.059998,414.209991,408.829987
350,422.5,422.73999,417.809998,417.940002,412.511536
351,419.890015,422.820007,419.160004,422.119995,416.637238
352,415.829987,419.209991,413.679993,419.070007,413.626892
353,417.380005,417.630005,415.149994,415.75,410.349976
354,416.070007,416.600006,411.670013,415.619995,410.22168
355,419.429993,419.839996,417.670013,418.200012,412.768158
356,417.630005,418.540009,416.339996,417.299988,411.879852
357,420.320007,420.720001,416.440002,420.059998,414.604004
358,417.809998,419.01001,416.899994,417.399994,411.978516
359,417.929993,418.140015,416.299988,417.519989,412.097015
360,417.440002,418.220001,416.809998,417.609985,412.185822
361,412.869995,418.25,412.790009,416.73999,411.327148
362,415.890015,416.779999,411.130005,412.269989,406.915192
363,411.51001,416.290009,411.359985,416.070007,410.665833
364,413.910004,415.089996,410.589996,412.170013,406.816528
365,416.26001,416.73999,413.790009,415.209991,409.816986
366,417.25,417.910004,415.730011,417.26001,411.840363
367,413.73999,416.160004,413.690002,415.869995,410.468445
368,412.829987,413.959991,410.869995,411.450012,406.105865
369,411.529999,413.529999,411.119995,412.859985,407.497528
370,410.850006,411.929993,410.200012,411.640015,406.293396
371,408.390015,411.670013,408.26001,411.48999,406.145325
372,407.929993,408.579987,406.929993,408.519989,403.213867
373,405.940002,406.959991,405.450012,406.589996,401.30896
374,405.76001,407.23999,405.399994,406.119995,400.845062
375,403.459991,406.940002,403.380005,406.359985,401.08194
376,398.399994,400.670013,398.179993,400.609985,395.406616
377,395.339996,398.0,395.309998,396.329987,391.18222
378,394.420013,395.450012,393.019989,394.730011,389.603027
379,394.399994,396.75,392.809998,395.779999,390.639374
380,390.929993,396.410004,390.290009,395.980011,390.836792
381,385.980011,390.549988,383.899994,389.700012,384.638367
382,391.0,392.75,387.470001,387.519989,382.486633
383,391.910004,393.459991,388.660004,389.5,384.440948
384,390.029999,394.070007,389.970001,392.589996,387.490784
385,389.880005,391.570007,387.149994,389.480011,384.421234
386,394.480011,396.720001,390.75,391.480011,385.13382
387,394.529999,398.119995,393.299988,397.26001,390.82016
388,397.070007,397.829987,395.079987,395.910004,389.491974
389,394.329987,396.690002,392.029999,396.410004,389.983917
390,392.070007,394.209991,391.200012,394.059998,387.671997
391,392.230011,395.649994,391.73999,393.529999,387.150604
392,389.690002,391.399994,388.170013,389.579987,383.264648
393,385.850006,389.910004,385.309998,387.170013,380.893677
394,384.660004,387.679993,381.420013,381.720001,375.532043
395,380.459991,384.76001,372.640015,383.630005,377.411072
396,381.220001,384.0,371.880005,376.700012,370.593414
397,385.790009,386.829987,381.309998,381.420013,375.236908
398,389.820007,390.070007,386.0,386.540009,380.273926
399,385.589996,390.920013,380.570007,389.579987,383.264648
400,384.350006,385.579987,378.230011,380.359985,374.194061
401,390.410004,391.880005,380.779999,382.329987,376.132111
402,386.329987,392.230011,385.269989,391.769989,385.419128
403,384.660004,388.950012,380.200012,387.5,381.218353
404,387.059998,389.619995,386.73999,387.029999,380.75592
405,392.070007,392.380005,389.549988,390.029999,383.707306
406,389.589996,391.519989,387.73999,390.720001,384.386139
407,390.420013,392.660004,389.329987,392.390015,386.029083
408,393.959991,394.170013,391.529999,392.299988,385.940521
409,389.850006,392.899994,389.769989,392.640015,386.275055
410,391.23999,391.690002,388.100006,390.709991,384.376282
411,392.119995,392.279999,387.5,390.079987,383.7565
412,389.609985,390.890015,389.170013,390.25,383.923767
413,389.269989,390.559998,388.350006,390.51001,384.179565
414,388.200012,388.470001,386.140015,387.709991,381.424957
415,382.959991,386.23999,381.970001,386.190002,379.929565
416,382.440002,383.700012,380.480011,381.850006,375.659912
417,379.649994,383.220001,376.320007,381.549988,375.364807
418,373.720001,377.339996,370.380005,376.230011,370.131042
419,375.630005,376.670013,368.269989,370.070007,364.070923
420,376.359985,381.929993,375.890015,377.630005,371.508331
421,380.220001,380.320007,372.01001,374.410004,368.340515
422,385.410004,385.850006,383.540009,383.790009,377.568481
423,383.670013,384.769989,378.459991,384.390015,378.158783
424,382.25,384.130005,381.839996,382.880005,376.673248
425,384.48999,384.950012,383.25,384.23999,378.011169
426,381.109985,384.790009,380.690002,383.890015,377.66687
427,378.339996,379.230011,376.75,378.649994,372.51181
428,376.720001,377.579987,373.700012,375.700012,369.60965
429,380.589996,381.130005,378.100006,378.459991,372.32486
430,378.690002,380.859985,377.850006,379.790009,373.633362
431,378.890015,379.859985,376.359985,378.769989,372.629852
432,377.850006,380.579987,377.720001,378.690002,372.551178
433,380.589996,381.48999,377.100006,381.26001,375.079529
434,376.100006,379.899994,375.910004,379.100006,372.954529
435,369.709991,376.980011,369.119995,373.549988,367.494446
436,368.100006,372.5,368.049988,371.329987,365.310486
437,375.309998,375.450012,364.820007,368.790009,362.811676
438,371.779999,374.660004,371.230011,373.880005,367.819122
439,372.339996,373.100006,371.570007,371.98999,365.959747
440,373.809998,374.0,370.829987,371.459991,365.438324
441,371.73999,372.589996,371.070007,372.170013,366.136902
442,368.079987,369.029999,367.450012,369.0,363.018219
443,368.279999,369.619995,367.220001,367.570007,361.61142
444,368.209991,368.329987,366.029999,367.23999,361.286743
445,364.970001,378.459991,362.029999,367.859985,361.896729
446,370.970001,371.149994,367.019989,369.179993,363.195313
447,371.940002,372.459991,371.049988,372.23999,364.651306
448,369.820007,371.160004,368.869995,370.170013,362.623566
